PERIOD,DECLARANT,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-02,PL,"4.815,04",:,:,:,"1.070,03","11.179,46","11,07",:,:,"114,44","8.673,20","2.933,93",:,"9.702,56",:,:,:,"3,70",:,:,"71,60",:,:,:,"16.163,85",:,:,"495,36"
2007-02,PT,"12.183,61","70,45",:,:,"77,88","1.273,76","1.119,79",:,:,"5.755,02","7.540,84","1.489,39",:,"0,07",:,:,:,"5,93",:,:,"5.670,83",:,:,:,"418,80",:,:,"469,57"
2007-02,RO,"2.848,46",:,:,:,"105,69","4.602,42","1,47",:,"301,37","103,42","3.897,40","1.697,08",:,"10.893,25",:,:,:,"2,72",:,:,"240,11",:,:,:,"1.278,70",:,"6,24","1.167,78"
2007-02,SE,"5,24",:,:,:,:,"2.403,88","576,96",:,:,:,"3.425,54","908,60","0,53","3.099,78","37,04","73,74",:,"110,21",:,:,"493,15","1.046,36",:,"24,95",:,:,:,"1.536,13"
2007-02,SI,"2.244,29",:,:,:,:,"2.087,45",:,:,:,:,"376,17","827,62",:,"394,38","97,04",:,:,:,:,:,:,"9,49",:,:,"0,46",:,:,"78,09"
2007-02,SK,"605,79","0,91",:,:,"1.595,83","1.875,90",:,:,:,:,"2.232,24","381,49",:,"3.436,89","282,54",:,:,:,:,:,"8,72","2.438,19",:,:,"1.062,76","3,60",:,"64,77"
2007-02,UK,"55,27","421,92",:,"319,08","29,80","74.452,15","881,25",:,:,"1.307,73","39.556,24","6.338,88",:,"18.672,43","5.859,69","1.443,89","698,68","779,27",:,"0,16","32.663,56","17,19","244,92","502,43","2.121,85",:,:,:
2007-03,AT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-03,BE,"32,41",:,:,:,:,"2.428,48","1.078,91",:,:,"0,80","1.613,35","642,35",:,"4.709,84",:,"0,34",:,"294,92",:,:,"14.081,97",:,"19,10",:,"3.757,10",:,:,"661,43"
2007-03,BG,"3.751,49",:,:,"1.228,67","326,35","2.465,29","134,24",:,"32,77","3,20","1.040,50","0,69",:,"2.510,28",:,:,:,"34,25",:,:,"3,62",:,:,:,"1.695,12",:,:,"260,28"
2007-03,CY,:,:,:,:,:,"241,75","31,73",:,"252,87",:,"417,27",:,:,"191,07",:,"0,08",:,:,:,:,"10,68",:,:,:,"682,07",:,:,"31,82"
2007-03,CZ,"850,45",:,:,:,:,"4.529,14","55,68",:,:,"16,09","2.671,04","109,55",:,"7.046,69","82,99","1.983,20","2,09","61,23",:,:,"23,70","417,27","18,72","325,24","2.108,78",:,"917,27","513,92"
