PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2015-07,FI,"34,77",:,:,:,"5,82","4.667,41","186,08","125,80",:,"0,77",:,"154,27",:,:,"3,78","2,19","0,05",:,:,:,"17.415,19","22,08",:,:,"31.694,74",:,:,"31,62"
2015-07,FR,"477,39","3.929,00",:,:,"615,38","9.789,10","239,54","288,18",:,"1.488,97","74,79",:,:,"593,03","14,53","1.450,08","1,98","50.754,58","524,36",:,"142.050,55","806,30","3.691,22","149,85","94,44",:,"189,76","7.997,68"
2015-07,HR,"5.065,09",:,:,:,"230,49","1.141,25","33,94",:,:,:,:,"0,42",:,"1.680,91",:,"27,11",:,:,"32,45",:,"5.700,54","7,81",:,"7,37","15,88","1.598,08","3.422,42","4,05"
2015-07,HU,"3.139,40",:,:,:,"2.552,73","8.082,52","20,98",:,:,"747,02",:,"538,44","72,84",:,:,"161,94",:,"505,80","401,97",:,"30.488,79","310,77",:,"131,89","85,03","1.106,07","11.349,15","171,24"
2015-07,IE,"0,57","1,05",:,:,"191,21","4.548,24","91,99","29,84",:,"27,82","4,55","425,97",:,"88,73",:,"3,49",:,:,"0,54",:,"12.270,07","5,05","1,85","5,92","2,87",:,"1,47","25.595,34"
2015-07,IT,"838,17","439,27",:,:,"1.873,99","25.220,58","566,84","171,37",:,"565,84","5,83","4.562,56",:,"34,44","4,38",:,"0,11","7.465,74","309,58",:,"74.064,06","1.226,46","459,11","1.674,11","16,78","336,20","145,83","6.490,06"
2015-07,LT,"3,04",:,"35,42",:,"1.745,22","970,17",:,"264,44",:,"0,34","1.272,59","161,47",:,:,:,"413,53",:,:,"13.977,29",:,"13.207,35","273,65",:,"466,76","3.497,87",:,"515,94","40,22"
2015-07,LU,"33,60","3.196,01",:,:,"4,93","2.700,90","1,38",:,"0,53","6.574,54",:,"1.987,22",:,:,:,"3,02",:,:,:,:,"4.182,57","63,71","32,78",:,"7,93",:,:,"81,19"
2015-07,LV,"1.410,06",:,:,:,"3.105,69","2.914,54","0,36","1.707,10",:,:,"591,26","0,26",:,:,:,"180,19","17.491,00","1.149,85",:,:,"677,62","686,40",:,"235,10","752,42","219,12","94,37","715,44"
2015-07,MT,:,:,:,:,"98,72","3.144,04",:,:,:,"1,42",:,"162,89",:,:,:,"1.294,99",:,:,"127,82",:,"275,62","8,23",:,"42,38",:,"16,23","54,06","224,99"
2015-07,NL,"930,02","28.869,51","166,14",:,"9.238,05","50.499,50","54,81","12,06","185,01","488,66","7,22","5.255,45",:,"67,42","161,42","1.270,20","75,95","463,21","102,15",:,:,"1.918,59","146,24","584,44","368,57","252,50","1.083,11","4.387,51"
2015-07,PL,"18.253,13","401,39",:,:,"10.255,84","29.025,24","80,29","505,23",:,"2.316,64","13,58","6.407,64",:,"972,50","1,85","466,42","1.489,87","156,39","965,23",:,"17.693,97",:,"77,45","441,95","220,09",:,"67.696,43","969,03"
2015-07,PT,"75,08","0,80",:,:,"29,04","6.218,62","1,41","17,38",:,"8.145,99",:,"1.122,01",:,:,:,"1.245,91",:,:,:,:,"13.477,15","54,42",:,"19,91","1,90",:,"2.461,79","412,64"
2015-07,RO,"4.726,37","49,65","174,14",:,"2.988,14","5.263,91","5,70","59,12","102,05","69,25",:,"443,82",:,"9.141,87",:,"510,18","33,20","3.531,81","20,43",:,"7.264,56","610,93","1.104,32",:,:,:,"33.916,73","125,00"
2015-07,SE,"0,18","12,86",:,:,"106,33","8.085,21","859,64","5,10",:,"111,51","7.887,11","588,58",:,:,"1,85","30,87","0,94",:,"5,76",:,"85.362,62","39,39",:,"17,53",:,:,"17,86","3.297,07"
2015-07,SI,"4.494,70",:,:,:,"206,17","1.561,21","2,81","0,58",:,"0,15",:,"0,26","220,77","2.733,24",:,"86,86",:,:,"1,63",:,"1.809,82","2,96",:,"1,82",:,:,"6.804,87","2,87"
2015-07,SK,"192.338,21","5,59","245,61","4.864,40","23.808,86","16.109,29","8,68",:,"24,42","0,78","1,26","92,86",:,"3.473,92",:,"664,29","359,37","0,11","589,28",:,"13.488,56","2.265,79","345,02","230,89",:,"2.403,50",:,"1.835,38"
2015-07,UK,"2.483,17","79,37","1.415,58","98,40","1.057,16","12.140,01","811,71","283,53","875,34","2.927,30","88,22","11.255,07","29,18","403,51","2.289,10","1.066,60","0,56","2.366,99","857,79",:,"195.248,78","2.551,48","2.944,05","3.040,19","427,77","945,59","677,61",:
2015-08,AT,:,"243,50","1.479,38","419,00","4.287,43","16.911,76","8,04","0,07","121,50","592,63","263,14","542,38",:,"3.947,24",:,"187,53",:,"0,74","270,44",:,"4.495,75","4.523,68","272,29","5.241,26","20,79","29,45","30.258,94","926,95"
2015-08,BE,"391,50",:,:,:,"552,48","2.321,96","31,66","56,14",:,"9,07","1,09","3.333,56",:,:,"4,91","215,10","56,55","2.703,43","314,97",:,"47.243,63","425,50","11,24","398,69","35,02",:,"117,24","906,90"
2015-08,BG,"954,20","32,56",:,:,"397,74","2.932,78",:,:,"68,63","0,23","0,93","1.274,67",:,"1.983,11",:,"5,99",:,:,"1.058,81",:,"3.156,57","331,72","223,88","46,07",:,:,"7.488,65","436,12"
2015-08,CY,"1.372,18","25,35","2,59",:,"161,82","1.264,96",:,"3,12","2.632,51","15,19",:,"1,60",:,"111,42",:,"120,12",:,"30,50","575,96",:,"1.058,12","73,41","254,12","392,60",:,"81,71","1.691,79","893,26"
2015-08,CZ,"2.480,49",:,"17,22","329,83",:,"23.598,59","87,86",:,:,"230,17","55,52","359,43","16,57","496,47",:,"38,78","20,69","26.812,70","619,36",:,"4.933,07","2.989,56","43,08","60,32","874,34","64,70","41.890,48","33,99"
2015-08,DE,"14.017,07","1.110,29","714,50",:,"34.118,31",:,"1.386,29","183,02",:,"783,62","456,94","11.160,44","1.760,76","2.389,92","80,40","1.011,12","449,49","5.636,75","490,05",:,"127.382,79","13.645,78","1.364,08","2.766,22","414,34","1.234,91","46.021,55","10.991,96"
2015-08,DK,"168,22","8,97",:,:,"93,38","3.853,76",:,"121,81",:,"0,56","63,83","2,70",:,"53,30",:,"2,42",:,:,"0,20",:,"4.397,14","10,40",:,"19,02","46.322,75",:,"6,21","331,96"
2015-08,EE,:,"1,00",:,:,"138,30","766,85",:,:,:,"0,70","550,21","46,27",:,:,:,:,"1.619,77",:,"3.765,27",:,"1.143,34","18,51",:,:,"1.006,62",:,:,"137,99"
2015-08,EL,"649,96","0,74","188,78","1.889,75","609,87","4.619,12","2,97",:,:,"4,57",:,"381,24",:,:,:,"91,33",:,"3.733,45","109,70",:,"451,54","140,10","5,38","46,22","0,74",:,"2.111,73","417,78"
2015-08,ES,"1.295,55","52,63","25,30",:,"1.355,39","7.234,25","16,91","85,08",:,:,"5,62","5.289,22",:,"7,01","1,09","14.674,35","20,22","7.965,13",:,:,"65.685,29","1.162,00","6.309,18","111,12","17,77",:,"3.486,39","3.745,45"
2015-08,FI,"11,37",:,:,:,"28,35","423,77","194,95","135,61",:,"1,76",:,"65,60",:,:,"1,09","0,89","0,10",:,"9,65",:,"14.807,77","22,31",:,:,"29.939,40",:,:,"13,37"
2015-08,FR,"573,36","5.523,53",:,:,"581,73","7.392,55","16,42","18,79",:,"966,01","46,14",:,:,"437,33","6,79","851,10","65,97","62.147,11","150,53",:,"85.897,91","724,43","381,33","396,48","171,95",:,"344,77","7.089,87"
2015-08,HR,"8.074,57",:,:,:,"135,88","1.814,54",:,"0,01",:,:,:,"0,69",:,"1.325,28",:,"22,82",:,:,"140,48",:,"2.267,12","35,79",:,"35,42","18,93","2.012,31","5.381,59","45,43"
2015-08,HU,"3.270,49",:,:,:,"2.607,15","2.226,32",:,"1,82",:,:,:,"748,45","40,68",:,:,"121,26",:,"232,03","244,40",:,"24.018,14","122,84",:,"307,95","200,00","1.439,69","12.216,48","136,21"
2015-08,IE,"0,80",:,:,:,"258,67","228,25","23,36",:,:,"24,19","5,02","717,79",:,"8,65",:,"3,27","2,91",:,"19,20",:,"19.308,70","3,23","1,22",:,"18,30",:,"185,98","19.907,28"
2015-08,IT,"303,72","233,89",:,:,"2.394,93","25.376,23","16,89","178,76",:,"1.671,00","3,74","4.050,35",:,"6,52","8,12",:,"21,21","4.722,78","287,29",:,"46.684,06","1.097,38","7,60","1.139,66","42,76","14,53","350,03","3.539,48"
2015-08,LT,"437,67",:,:,"155,53","1.244,55","665,02","2,96","387,00",:,"88,50","645,86","155,97",:,:,:,"18,16",:,:,"12.870,26",:,"5.746,96","281,62",:,"138,79","1.676,86",:,"69,94","233,81"
2015-08,LU,"30,74","2.924,57",:,:,"24,00","1.331,03","1,38",:,:,"1.663,27",:,"415,05",:,:,:,"1,91",:,:,:,:,"3.119,24","70,47","19,59",:,"18,10",:,:,"78,57"
2015-08,LV,"491,08","98,28",:,:,"556,24","3.338,56","0,36","688,04",:,"89,00","553,83","0,17",:,:,:,"264,82","10.799,77","417,38",:,:,"707,67","378,39",:,"45,35","1.059,71","192,99","111,12","293,26"
2015-08,MT,"26,52",:,:,:,"115,12","419,43",:,:,"10,47","1,34",:,"159,25",:,:,:,"277,04",:,:,"42,24",:,"79,84","4,98","180,15","28,77","2,77",:,"49,58","158,82"
2015-08,NL,"1.131,93","16.221,46",:,:,"3.096,97","33.812,27","281,67","14,25","0,97","510,78","2,63","1.853,94",:,"1,53","52,18","393,26","67,67","93,42","54,93",:,:,"835,15","100,62","289,69","421,66","5,02","76,08","3.025,13"
2015-08,PL,"17.395,14","356,53",:,"1.302,00","9.726,27","17.936,35","60,23","218,56",:,"1.313,33","29,11","3.077,88",:,"543,28","3,31","66,09","4.300,01","184,19","713,12",:,"12.590,53",:,:,"540,09","73,75",:,"60.873,66","601,46"
2015-08,PT,"481,72","53,72",:,:,"252,91","2.319,22","2,42","22,36",:,"7.465,52",:,"1.049,32",:,:,:,"180,56",:,:,"5,04",:,"9.320,24","20,88",:,"16,24","1,83",:,"3.952,31","158,16"
2015-08,RO,"5.496,41","49,75","576,81",:,"1.684,75","746,46","16,90",:,"8,60","7,83","1,26","936,65",:,"5.435,64",:,"110,90",:,"2.623,81","123,98",:,"3.170,93","140,23","314,09",:,:,"39,10","22.501,05","197,20"
2015-08,SE,"568,61","157,42",:,:,"720,77","13.369,81","764,17","532,27",:,"0,55","8.916,07","212,66",:,:,"3,34","0,19","90,20",:,"27,23",:,"86.230,37","119,67",:,"716,74",:,:,:,"1.550,40"
2015-08,SI,"4.941,33",:,:,:,"144,21","355,40",:,:,:,:,:,"0,78","1.926,55","1.341,46",:,"9,24",:,:,:,:,"1.799,01","14,01",:,:,"0,45",:,"7.378,23","88,56"
2015-08,SK,"245.148,02","143,80","158,98","978,87","16.029,84","14.411,25","9,43",:,:,"0,46","78,96","136,16",:,"2.044,52",:,"122,40","187,04",:,"639,82",:,"5.497,38","1.453,24","52,40","42,65",:,"1.532,60",:,"963,08"
2015-08,UK,"659,82","232,77","945,68","207,55","2.241,18","12.815,07","222,87","10,05","685,29","307,75","36,54","7.695,70",:,"360,12","7.457,29","606,80","246,60","355,65","153,48",:,"320.887,67","1.372,78","3.247,06","1.656,78","225,77","460,07","1.604,16",:
2015-09,AT,:,"69,04","2.322,14",:,"7.409,69","20.458,67","36,01","0,05","24,20","104,64","380,06","384,73","297,76","915,83",:,"856,85","345,70",:,"30,34",:,"3.974,72","2.842,69","771,55","3.042,47","31,96","295,36","44.187,89","695,65"
2015-09,BE,"150,01",:,:,:,"7.730,89","4.102,19","164,51","65,03",:,"43,52","0,61","3.110,58",:,:,"2,72","110,22",:,"2.763,59","0,08",:,"69.002,95","26,12","48,76",:,"92,60",:,"52,00","525,09"
2015-09,BG,"1.994,05","0,75",:,:,"365,80","3.353,52","5,42","3,09","190,32","0,16",:,"1.199,59","0,00","1.890,56","35,94","17,09",:,:,"1.396,29",:,"4.977,10","394,51",:,"44,62",:,"15,84","9.754,56","753,23"
2015-09,CY,"658,29",:,"4,18",:,"221,46","954,74",:,"17,11","3.433,24","56,54",:,"423,33",:,:,:,"358,01",:,:,"886,90",:,"339,76","1,53","45,27","84,98",:,"170,60","1.164,77","607,34"
2015-09,CZ,"6.560,41",:,"9,07","1.956,19",:,"37.350,80","86,61",:,:,"10,26",:,"318,31","72,26","821,39",:,"24,70","208,78","5.875,39","79,50",:,"6.547,82","2.713,31","8,03","15,92","383,52","215,59","40.251,04","1.115,13"
2015-09,DE,"13.341,89","473,39","351,36","246,19","324.268,03",:,"1.892,39","133,33","14,50","1.320,79","163,79","12.313,58","263,83","1.708,20","14,41","2.475,04","560,50","8.120,44","433,36",:,"95.103,14","11.412,60","812,26","3.111,23","492,68","2.046,90","27.597,18","11.006,58"
2015-09,DK,"423,98","2,87",:,:,"75,71","2.796,39",:,"26,03",:,"14,01","165,07","4,34",:,:,:,"53,07",:,"0,29","0,13",:,"9.579,24","11,73",:,:,"45.375,96","0,59","2,66","357,66"
2015-09,EE,:,"0,70",:,:,"219,74","196,73","5,15",:,:,"0,20","168,63","68,83",:,:,:,"0,07","745,40",:,"4.026,53",:,"1.246,12","43,26",:,:,"1.229,57",:,:,"161,81"
2015-09,EL,"2.409,16",:,"496,09","1.614,98","1.444,76","10.729,75","14,55","12,10",:,"8,21",:,"1.280,14",:,:,:,"1.302,19","0,88","8.069,54","499,20",:,"1.121,04","175,88","56,31","407,35","20,53",:,"1.680,43","1.332,54"
2015-09,ES,"1.118,97","71,82","11,23",:,"1.397,61","8.600,27","11,54","66,09",:,:,"1,18","5.630,20",:,"3,42","2,79","13.819,18","7,83","5.882,34","33,98",:,"90.905,21","360,61","1.423,27","33,76","118,48","73,75","1.829,63","2.463,42"
2015-09,FI,"21,95",:,:,:,"71,04","2.163,28","76,37","114,81",:,"2,45",:,"145,35",:,:,"3,25","0,32",:,:,"53,73",:,"14.193,51","8,31",:,"0,09","29.666,67",:,:,"92,86"
2015-09,FR,"971,24","5.939,78","6,45",:,"30.762,38","9.069,12","47,20","433,69",:,"1.205,18","52,14",:,:,"280,43","13,33","1.247,26","16,20","36.340,80","247,00","0,62","253.169,78","300,72","6.312,40","65,48","251,71",:,"435,27","3.676,30"
2015-09,HR,"5.612,27",:,:,:,"232,42","1.999,47","5,59",:,:,"1,51",:,"0,61",:,"983,07",:,"86,16",:,:,:,:,"2.439,22","16,67",:,"8,17","25,48","1.370,25","4.085,30","38,65"
2015-09,HU,"5.163,72",:,"1,68",:,"2.105,47","5.686,89","0,49","10,65","31,48","0,39",:,"458,28","102,56",:,"0,61","548,04","85,50","489,11","229,65",:,"23.635,01","136,01",:,"149,92","36,90","2.193,53","9.638,93","547,92"
2015-09,IE,:,"27,92",:,:,"13,35","203,59","59,51","24,91",:,"37,69","1,21","888,01",:,:,:,"1,47",:,:,:,:,"21.458,36","5,76","1,62",:,"10,56",:,"15,40","29.605,44"
2015-09,IT,"765,95","385,46","40,00",:,"2.116,01","22.765,13","25,28","216,37",:,"3.616,78","4,90","6.628,52",:,"43,12","1,40",:,"166,91","7.043,79","982,71","0,07","129.393,69","1.240,60","347,34","946,02","77,47","909,20","758,37","4.353,82"
2015-09,LT,"8,25","162,76",:,:,"1.266,68","584,01","5,15","25,10",:,"372,19","153,79","79,03",:,:,:,"59,04",:,:,"11.579,70",:,"6.320,11","929,99",:,"6,60","854,88",:,"508,50","192,46"
2015-09,LU,"320,22","2.703,85",:,:,"139,10","1.500,60","6,71",:,:,"2.073,78",:,"689,77",:,:,:,"45,48",:,:,:,:,"5.773,77","64,47","9,31",:,"6,78",:,"18,90","48,84"
2015-09,LV,"286,73","28,17","47,52",:,"1.161,34","3.011,10","10,07","115,77",:,"121,72","552,45","139,03",:,:,:,"264,41","4.273,31","1.211,27",:,"61,46","417,46","1.296,38",:,"105,97","934,98","323,72","277,22","449,63"
2015-09,MT,"7,91",:,:,:,"155,41","373,91",:,:,"25,90","0,75",:,"213,78",:,"0,60",:,"4.720,80",:,:,"83,67",:,"45,79","10,31","242,38","58,34","0,49","71,20","84,55","295,57"
2015-09,NL,"1.289,87","12.781,46",:,:,"13.746,30","33.248,87","119,54","161,36","99,81","223,54","0,44","1.534,16","47,82","6,62","120,36","753,48","81,06","0,32","35,86",:,:,"593,23","187,02","695,50","687,52","25,66","281,74","3.058,07"
2015-09,PL,"11.585,48","225,15",:,"2.099,50","9.096,66","33.179,87","40,94","168,06",:,"657,25","19,91","2.991,99","0,00","18,98","2,09","211,52","1.026,64","123,38","430,15",:,"35.314,56",:,"24,12","256,20","33,59",:,"59.109,24","511,27"
2015-09,PT,"16,00","128,46",:,:,"75,10","3.034,94","2,61","65,17",:,"5.891,09",:,"1.621,16",:,:,:,"353,62",:,"47,01","6,78",:,"9.136,60","63,19",:,"14,39","6,30",:,"555,64","362,35"
2015-09,RO,"4.839,96","19,17","744,50","75,00","1.970,75","5.766,55","9,07",:,"17,75","27,82",:,"1.916,02",:,"3.138,74",:,"115,31","37,66","2.688,94","6,76",:,"4.540,46","107,93","15,48",:,"70,13","222,55","20.222,77","375,45"
2015-09,SE,"570,38","16,68","27,48",:,"414,57","24.705,12","866,64","116,56",:,"161,05","2.674,43","62,17",:,:,"23,28","138,24","106,11",:,"316,16",:,"121.700,89","101,70","2,12","132,07",:,"52,55","5,89","601,62"
2015-09,SI,"7.283,08",:,"49,06",:,"185,72","2.568,45","4,85",:,:,"0,20",:,"0,94","530,88","486,59","2,85","103,37",:,:,"5,72","78,94","2.030,95","22,81",:,:,"0,45",:,"10.787,23","9,27"
2015-09,SK,"260.339,77","88,25","44,75","655,60","17.826,90","11.903,51","5,88",:,"0,39","0,19","1,14","90,40",:,"5.501,00",:,"1.462,31","82,83",:,"697,18",:,"6.980,22","1.591,12","279,40","219,72",:,"2.690,06",:,"1.200,32"
2015-09,UK,"772,57","148,67","1.125,35","144,23","1.788,88","11.183,92","161,21","199,79","546,15","838,73","5,71","6.601,45","0,02","23,28","3.426,09","1.762,96","50,57","205,62","100,79","2,01","230.930,77","774,52","1.644,26","1.148,37","380,88","1.695,70","2.074,72",:
2015-10,AT,:,"5,92","1.248,01",:,"17.745,57","31.310,65","320,56",:,"254,10","109,99","236,53","491,98","1.300,12","1.938,11",:,"1.304,41","215,88",:,:,:,"9.868,65","5.696,74",:,"3.869,51","39,53","260,29","32.802,67","2.218,25"
2015-10,BE,"53,14",:,:,:,"15.547,77","3.881,09","351,23","53,33",:,"28,57","16,69","4.179,05",:,:,"13,64","458,90",:,"3.882,62",:,:,"117.505,18","19,36","64,86","202,67","126,45",:,"9,97","325,87"
2015-10,BG,"3.965,81",:,:,:,"930,84","1.964,02","15,01",:,"213,72","0,40","0,41","1.754,48","0,02","8.540,29",:,"146,21",:,:,"1.698,25",:,"6.257,02","584,51",:,"85,24","2,36","14,77","9.143,76","674,52"
2015-10,CY,"823,23","1,30","2,78",:,"210,54","940,33","0,07","15,39","4.554,70","75,71",:,"6,77",:,"19,09",:,"203,52",:,"60,03","988,11",:,"2.370,06","679,89","168,32","192,52",:,"17,50","574,10","286,97"
2015-10,CZ,"7.791,67","9,78","17,97","1.264,33",:,"36.609,94","403,91",:,:,"116,37","0,77","920,21","334,62","388,89",:,"2.595,71","21,32","29.477,23","14,14",:,"9.545,72","2.620,72","37,07","32,07","401,34","169,37","54.136,72","520,09"
2015-10,DE,"13.075,11","1.352,74","630,71","382,74","193.253,21",:,"3.474,54","308,30","42,10","1.342,26","26,87","9.317,82","1.226,61","736,42","16,34","3.866,54","527,81","9.171,34","557,29",:,"205.917,25","10.164,59","934,62","2.410,95","306,34","1.774,57","29.389,83","11.647,31"
2015-10,DK,"326,79","6,96",:,:,"393,16","2.707,37",:,"85,62",:,"1,70","210,53","3,67",:,:,:,"186,58",:,:,"0,15",:,"28.942,51","19,95","51,39",:,"81.619,23","93,15","3,49","259,01"
2015-10,EE,"14,28",:,:,:,"437,85","471,65","1,50",:,:,"0,63","457,65","60,07",:,:,:,"0,68","2.388,05",:,"3.588,93",:,"3.379,89","1.244,74",:,:,"2.435,39",:,"124,64","353,42"
2015-10,EL,"3.056,37",:,"95,79","972,83","1.648,57","8.966,27","11,60","44,50",:,"2,78","0,02","2.531,35",:,:,:,"2.160,49",:,"19.240,38","321,18",:,"696,67","108,53","0,40","76,57","10,48","23,34","198,77","1.675,52"
2015-10,ES,"758,91","179,09","39,87",:,"791,87","7.690,79","170,20","81,34",:,:,"4,17","7.642,64",:,:,"4,64","49.472,28","97,05","6.575,15","217,62","0,16","166.370,96","817,34","1.030,91","56,17","296,70","181,96","5.041,66","3.044,48"
2015-10,FI,"145,72","4,53",:,:,"254,95","1.103,54","204,11","107,69",:,"2,59",:,"2,23",:,:,"2,13","0,26","0,82",:,"0,30",:,"34.385,93","30,25","134,90",:,"30.795,84",:,:,"158,45"
2015-10,FR,"525,22","4.349,77",:,:,"25.629,33","8.531,97","33,08","318,89",:,"1.403,34","61,74",:,:,"83,04","18,09","1.904,91","10,45","146.766,62","111,91",:,"245.821,49","553,09","3.197,16","10,16","265,33","81,62","507,77","5.376,22"
2015-10,HR,"10.154,73",:,:,:,"871,38","880,82","6,42",:,:,:,:,"1,91",:,"2.885,18",:,"58,81",:,:,:,:,"4.576,82","7,09",:,"25,76","0,44","2.689,51","8.369,68","46,77"
2015-10,HU,"7.650,14",:,:,:,"3.113,28","5.160,04","8,07","16,92",:,:,:,"1.208,60","32,30",:,:,"618,51",:,"737,69","252,32",:,"69.289,31","1.074,51",:,"116,31","2,31","505,40","16.778,55","270,76"
2015-10,IE,"6,43","129,90",:,:,"88,24","371,05","304,82","18,22",:,"44,82","1,19","1.051,75",:,:,:,"6,28",:,:,"0,29",:,"37.088,64","6,70","21,80",:,"13,09",:,"4,10","30.466,14"
2015-10,IT,"417,92","192,66","75,35",:,"886,50","49.488,60","34,93","205,85",:,"1.464,78","28,86","13.907,60","8,18","25,84","4,83",:,"85,57","7.620,18","1.285,89",:,"216.655,09","623,35","74,00","659,35","50,19","292,37","741,47","5.836,38"
2015-10,LT,:,:,:,:,"961,37","443,46","11,40","134,75",:,"222,66","587,15","44,88",:,:,:,"3,57",:,:,"11.923,99",:,"15.039,76","215,71",:,"69,84","3.024,22",:,"428,24","16,18"
2015-10,LU,"376,68","5.093,49",:,:,"368,56","1.690,58","1,56",:,:,"2.523,38",:,"1.696,72",:,:,:,"263,05",:,:,:,:,"5.323,05","167,81",:,:,"0,64",:,:,"9,51"
2015-10,LV,"818,53","0,38","37,85",:,"624,24","1.820,78","9,02","66,56","48,50","161,82","754,75","0,54",:,:,:,"476,56","3.765,89","3.292,84",:,:,"702,01","355,59",:,"26,44","434,12","60,90","119,04","360,77"
2015-10,MT,"32,20",:,:,:,"137,07","320,67",:,:,"0,38","0,92",:,"845,31",:,:,:,"4.698,91",:,:,"44,80",:,"682,47","4,70",:,"52,83","1,66","146,93","227,73","1.066,54"
2015-10,NL,"1.363,75","35.441,73","40,65","70,73","16.914,69","52.286,55","70,59","65,62",:,"126,06","4,60","2.285,69","1,73","4,77","991,92","1.198,18","294,23","289,85","226,77",:,:,"691,05","334,68","610,65","242,34","50,24","220,91","4.578,22"
2015-10,PL,"39.547,52","112,79","338,55","659,00","9.696,99","58.264,32","39,21","109,46","87,34","468,09","9,12","3.839,84","0,02","364,87","2,75","239,79","437,31","32,64","436,21",:,"23.548,59",:,"13,58","223,89","41,30","171,26","91.804,27","704,76"
2015-10,PT,"387,48","133,64",:,:,"631,49","1.802,93","5,54","46,97",:,"11.390,76",:,"1.296,88",:,:,:,"1.524,30","3,48","27,51","8,82",:,"14.207,92","55,01",:,"13,58","86,13",:,"786,62","686,08"
2015-10,RO,"9.747,51","36,78","1.368,56",:,"2.305,02","4.903,23","11,22","1,74","43,66","45,14",:,"1.656,20",:,"7.786,48",:,"260,84","6,08","7.946,85","91,53",:,"13.761,25","604,55","88,27",:,"0,24","106,52","28.248,64","433,24"
2015-10,SE,"798,69","280,86","77,07",:,"576,72","38.122,86","1.521,77","449,04",:,"8,65","2.034,24","8,96",:,:,"3,22","369,28","47,85",:,"228,79",:,"256.700,12","27,40",:,"1,49",:,"28,73","13,00","453,30"
2015-10,SI,"6.835,78",:,:,:,"163,55","1.881,76","0,07",:,:,"0,20",:,"0,49","77,47","5.244,74",:,"28,92",:,:,"0,70",:,"7.489,19","3,80",:,:,"0,46",:,"6.334,60","14,09"
2015-10,SK,"266.148,76","8,81","259,52","2.547,73","27.396,08","25.130,12","36,54",:,"88,95","0,17","57,28","238,33",:,"4.497,85",:,"295,22","34,23",:,"488,93",:,"8.146,70","1.366,68","66,78","629,11","0,76","1.769,14",:,"1.779,64"
2015-10,UK,"548,18","110,79","668,48","431,60","2.675,34","16.731,09","301,07","73,52","929,20","521,76","2,99","12.253,49","0,13","1.539,58","5.217,65","7.655,98","12,92","4.352,85","43,04","0,60","404.007,51","1.200,15","1.722,97","437,20","193,69","946,56","1.393,42",:
2015-11,AT,:,"13,19","1.292,72",:,"11.023,24","60.020,47","121,79",:,"128,80","592,88","843,65","642,17","3.906,54","9.487,91","0,28","465,00",:,"143,85",:,:,"5.476,80","5.097,15","542,42","6.111,67","354,27","1.809,81","43.391,06","1.044,37"
2015-11,BE,"374,81",:,:,:,"7.053,08","3.057,41","30,67","348,23",:,"30,13","6,61","6.008,72",:,"0,72","0,94","413,39",:,"4.177,19",:,:,"122.428,64","41,62","0,80",:,"60,78",:,"214,08","278,86"
2015-11,BG,"2.341,28",:,:,:,"605,29","3.514,59",:,"6,10","34,40","17,72","0,73","2.192,82",:,"7.320,94",:,"130,34","0,35",:,"1.367,10",:,"5.092,03","776,85",:,"78,59","65,38",:,"10.292,23","501,99"
2015-11,CY,"1.112,26","85,59",:,:,"892,70","1.234,67",:,"0,14","5.643,03","133,60",:,"5,95",:,"8,42",:,"283,95",:,"21,00","692,21",:,"1.813,53","100,63","15,96","33,96",:,"26,39","484,01","365,46"
2015-11,CZ,"6.179,06","29,86","1.091,53","2.265,58",:,"57.237,76","240,08",:,:,"462,65","20,69","1.562,91","554,21","1.241,94",:,"181,67","84,21","38.382,98","491,39","1,80","3.135,88","2.852,45","234,37","87,65","89,15","143,40","68.937,81","311,93"
2015-11,DE,"22.907,75","876,14","765,58",:,"96.814,92",:,"3.303,16","215,56","130,95","2.427,11","111,52","7.334,32","1.549,12","613,76","183,04","5.779,52","1.133,15","14.471,09","257,48",:,"398.006,51","13.146,79","1.729,61","2.649,89","512,21","895,41","25.852,38","8.496,13"
2015-11,DK,"397,80","15,28",:,:,"68,52","4.693,19",:,"30,56",:,"1,40","201,57","4,40",:,:,:,"77,37",:,:,"116,40",:,"20.399,75","7,32",:,:,"82.987,11","22,86","21,87","96,39"
2015-11,EE,:,:,:,:,"288,64","692,85","2,34",:,:,"11,89","446,52","0,70",:,:,:,"0,82","2.070,72",:,"4.057,01",:,"3.056,46","21,35",:,:,"1.882,66",:,:,"259,08"
2015-11,EL,"2.855,03","65,73","226,18","1.666,02","1.632,74","13.243,07","0,46","13,19",:,"11,38","0,50","2.237,16",:,:,:,"1.387,89",:,"13.017,43","49,67",:,"392,18","44,09",:,"31,12","0,68",:,"235,97","1.540,62"
2015-11,ES,"752,08","51,61",:,:,"976,65","11.121,42","69,54","111,66",:,:,"3,77","9.451,78",:,:,"2,83","25.607,31","43,12","10.637,28","210,27",:,"174.697,39","774,03","805,79","60,77","30,72","12,22","1.190,43","2.264,26"
2015-11,FI,"51,53",:,:,:,"6,93","6.681,31","230,13","1.159,42",:,"4,96",:,"82,14",:,:,"1,09","1,83","15,66",:,"33,94",:,"25.538,38","52,93","161,34",:,"38.250,45",:,:,"101,41"
