PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-02,SK,:,:,:,:,"682,38","2.756,04",:,:,:,:,"1.191,78","144,11",:,"2.793,41",:,"50,38",:,"23,52",:,:,"72,29","0,26",:,:,:,"3,69",:,"18,37"
2007-02,UK,:,"41,87",:,"21,83","26,95","76.989,62","1.033,58",:,:,"75,22","40.492,93","5.584,39",:,"8.175,74","2.941,37","608,17",:,"775,39",:,"1,60","35.374,46","86,14","435,77","525,20","8,19","3,73",:,:
2007-03,AT,:,"5,54","50,55",:,"1,67","10.427,97","508,39","1,39",:,"0,07","1.475,83","126,90",:,"4.518,63","211,41","3.788,00",:,"251,14",:,:,"4.243,60",:,:,:,"1,03","1,70",:,"1.235,78"
2007-03,BE,:,:,:,:,"0,61","1.861,86","1.007,35",:,:,:,"1.543,51","601,02",:,"3.969,96","4,96","2.102,68",:,"297,49",:,:,"14.893,63",:,:,:,"0,26","1,27",:,"69,71"
2007-03,BG,:,:,:,:,"78,51","2.365,85","40,91",:,:,"3,20","982,51","123,65",:,"881,49",:,:,:,"40,98",:,:,"157,44",:,:,"0,09","0,05",:,:,"138,41"
2007-03,CY,:,:,:,:,"72,60","1.002,69","104,23",:,"12,52",:,"342,28","16,18",:,"1.057,88",:,:,:,"47,42",:,:,"132,83",:,:,"511,99","0,12",:,:,"3.159,35"
2007-03,CZ,:,"0,35",:,:,:,"3.364,55","110,40",:,:,"16,03","2.725,69","62,57",:,"15.142,84","9,14","1.763,16",:,"268,96",:,:,"118,31","360,44","15,99","345,98",:,:,"1.154,41","224,90"
2007-03,DE,:,"2.236,38",:,:,"116,68",:,"6.007,49","110,15",:,"56,32","61.952,27","11.351,91",:,"46.020,96","250,15","2.132,77","68,00","2.518,19","11,15","0,45","43.702,16","3.207,87",:,"7,10","130,12","14,62",:,"19.411,23"
2007-03,DK,:,"20,28",:,:,:,"4.979,76",:,:,"0,36",:,"6.211,31","138,53",:,"3.662,01","9,55",:,:,"271,21","196,10",:,"249,15","499,42","78,02",:,"8.958,27",:,:,"2.020,90"
2007-03,EE,:,:,:,:,"157,85","954,38",:,:,:,:,"765,97","28,39",:,"622,32",:,:,"96,88","5,30","1.468,48",:,:,"9,09",:,:,"1.033,67",:,:,"6,94"
2007-03,EL,:,"3,84","0,82","578,56","19,72","12.170,75","588,01",:,:,:,"4.094,08","568,78",:,"1.946,56","0,89","15,94",:,"12,14",:,:,"8,44","7,40",:,:,"0,90",:,:,"7,39"
2007-03,ES,:,"15,26",:,:,"535,84","60.482,87","9.127,14",:,:,:,"15.952,94","3.817,06",:,"22.266,41","584,75","1.885,61",:,"688,57",:,:,"14.827,26","162,04","2.612,41",:,"1,88","13,91",:,"1.368,77"
2007-03,FI,:,"87,69",:,:,"6,41","29.514,75","113,40","153,57",:,:,:,"287,55",:,"2.993,11","0,42",:,"5,31","8,70","5,71",:,"4,42","16,88",:,:,"593,91",:,:,"40,77"
2007-03,FR,:,"2.088,44",:,:,"19,74","15.742,65","7.959,07",:,"11,34","1.249,53","8.947,85",:,:,"15.029,56","262,25","7.114,17",:,"3.799,23",:,"1,57","41.171,27","2,81","1.955,63",:,"0,48",:,:,"2.559,26"
2007-03,HR,:,:,:,:,"48,94","1.002,85",:,:,:,:,"952,33","22,07",:,"1.196,07",:,:,:,:,:,:,:,:,:,:,"1,95","10,74",:,:
2007-03,HU,:,"0,68","11,94",:,"340,02","5.355,65","132,01","7,15","79,61","2,14","2.050,18","736,94",:,:,:,"295,26",:,"25,07",:,:,"309,39",:,"31,45","72,35","0,05",:,"3,52","50,98"
2007-03,IE,:,"0,53",:,:,"15,17","4.839,47",:,:,:,:,"7.079,57","21,29",:,"4.454,50",:,"1,60",:,"26,96",:,:,"1.077,62","0,22",:,:,:,:,:,"1.889,57"
2007-03,IT,:,"34,73",:,:,"325,43","32.855,59","6.827,17",:,:,"1.763,35","18.977,78","17.305,46",:,"5.102,80","949,16",:,:,"2.488,96",:,"0,38","6.760,19",:,"16,29",:,"0,61","198,01",:,"3.069,41"
2007-03,LT,:,:,:,:,"172,30","2.995,44","24,71","0,07",:,:,"2.411,27","81,56",:,"1.590,83",:,:,:,"5,89","24,49",:,"0,43","24,86",:,:,"2.478,65",:,"9,10","258,11"
2007-03,LU,:,"3.995,18",:,:,:,"4.265,44","20,90",:,:,:,"11,60","755,93",:,"331,21",:,:,:,:,:,:,"4.132,82",:,"232,10",:,:,:,:,"0,04"
2007-03,LV,:,"0,51",:,:,"92,20","1.993,52","6,48","2.103,27",:,:,"949,57","25,54",:,"429,83",:,:,"1.775,31","4,18",:,:,"56,88","9,67",:,:,"950,78",:,"19,49","102,16"
2007-03,MT,:,:,:,:,:,"499,78",:,"15,00",:,"6,36","23,21","298,85",:,"6,60",:,"1,41",:,:,:,:,"3,31",:,:,:,"0,06",:,:,"7,04"
2007-03,NL,:,"2.621,53",:,:,"135,34","5.875,81","3.041,79",:,"8,73","158,16","12.721,45","6.046,27",:,"5.511,23","343,36","218,21",:,"3.417,90",:,:,:,"203,60","401,35","93,85","8,98","1,84","2,39","1.582,58"
2007-03,PL,:,"0,06",:,:,"1.359,07","13.970,31","443,48",:,"928,18",:,"6.396,30","2.277,93",:,"14.820,32","8,05","2,33","5,67","140,27",:,:,"77,79",:,"11,70",:,"0,59",:,"309,88","216,15"
2007-03,PT,:,:,:,:,"64,62","5.887,85","3.843,35",:,:,"59,96","4.790,52","1.367,42",:,"4.177,28","0,54","44,05","0,76","47,24",:,:,"4.751,62",:,:,:,"1,18",:,:,"54,16"
2007-03,RO,:,"321,42","3,08",:,"4,44","3.833,66","83,95",:,"69,34",:,"4.884,39","1.027,91",:,"6.519,63",:,"639,09",:,"122,42",:,:,"7,62",:,:,:,"0,07",:,:,"2,98"
2007-03,SE,:,"0,41",:,:,"0,61","1.940,93","814,61",:,"5,67",:,"4.192,42","788,40",:,"3.171,55","3,47",:,:,"171,20",:,:,"19,12","135,10",:,:,:,:,:,"471,99"
2007-03,SI,:,:,:,:,:,"3.965,22","27,88",:,:,:,"272,32","417,84",:,"484,49",:,"160,05",:,"35,95",:,:,"6,48",:,:,:,:,:,:,"12,36"
2007-03,SK,:,:,:,:,"490,58","6.637,18",:,:,:,:,"2.727,70","116,06",:,"3.027,15",:,"11,22",:,:,:,:,"138,76","139,55",:,:,:,:,:,"48,92"
2007-03,UK,:,"327,42",:,:,"260,98","79.257,01","1.211,27",:,"15,00","102,04","83.693,70","7.424,39",:,"35.083,63","475,59","136,51",:,"2.024,08",:,"1,40","61.113,17","71,37","722,42","899,62","40,96","6,44",:,:
2007-04,AT,:,"1,75","65,18",:,"1,17","5.317,76","204,50",:,:,:,"3.511,08","177,40",:,"5.152,16","16,06","2.945,28",:,"167,72",:,:,"4.902,89",:,:,:,"0,80","1,70","13,48","1.115,00"
2007-04,BE,:,:,:,:,"6,55","1.785,06","796,83",:,:,"0,59","1.640,62","888,43",:,"5.257,02","3,04","1,97",:,"249,30",:,:,"4.939,38",:,:,:,:,:,:,"71,44"
2007-04,BG,:,:,:,:,"498,39","1.432,61","29,11",:,"143,86","8,44","657,97","228,97",:,"1.438,39",:,:,:,"43,34","21,79",:,"2,71","4,04",:,"365,87",:,:,:,"307,91"
2007-04,CY,:,:,:,:,:,"972,52","340,59",:,"9,83","86,50","86,57","12,29",:,"700,56",:,:,:,:,:,:,"203,38",:,:,"347,80",:,"1,48",:,"1.307,45"
2007-04,CZ,:,"1,75",:,:,:,"4.492,91","238,68",:,:,:,"2.556,73","12,99",:,"18.119,64","18,97","72,33",:,"158,82",:,:,"41,05","533,71",:,"317,06",:,:,"257,55","989,30"
2007-04,DE,:,"93,36","24,01",:,"181,59",:,"4.747,01","66,62",:,"30,31","59.550,22","3.597,92",:,"44.161,36","123,09","559,51","2,90","2.185,93",:,"0,40","48.233,79","1.448,76","195,63","6,80","19,91","6,37",:,"7.108,51"
2007-04,DK,:,"34,17",:,:,"2,04","5.311,85",:,:,:,:,"6.081,74","661,68",:,"5.187,61","7,69","755,51",:,"979,75","167,56",:,"139,89","752,28",:,:,"8.820,42",:,:,"2.654,16"
2007-04,EE,:,:,:,:,"363,97","693,27","2,13",:,:,:,"448,69","13,51",:,"580,95",:,:,"160,40","1,04","1.830,30",:,:,:,:,:,"509,19",:,:,"2,32"
2007-04,EL,:,"6,61",:,"164,51","157,86","14.719,34","483,27",:,:,"0,05","4.804,02","1.138,89",:,"5.144,42","0,40","21,24",:,"244,58",:,:,"33,66","5,55",:,:,"19,28",:,:,"10,69"
2007-04,ES,:,"18,61",:,:,"429,92","72.840,38","4.413,05",:,:,:,"9.797,54","5.482,20",:,"39.542,78","1.759,65","999,75",:,"465,44",:,:,"22.850,03","77,24","1.317,08",:,"2,14",:,:,"1.995,78"
2007-04,FI,:,"1,68",:,:,:,"27.641,51","120,89","245,72",:,:,:,"168,00",:,"2.252,05","1,07",:,"59,41","8,71",:,:,"0,03",:,:,:,"778,05",:,:,"19,76"
2007-04,FR,:,"2.240,62",:,:,"8,47","14.784,05","3.991,60",:,"9,46","2.103,18","13.958,34",:,:,"21.157,61","345,72","13.115,10",:,"2.468,01",:,"3,38","42.588,31","10,55","579,07","1,27","0,03","9,46",:,"1.582,61"
