PERIOD,DECLARANT,Andorra,Belgien,Ceuta,Deutschland,Dänemark,Estland,Finnland,Frankreich,Färoer,Gibraltar,Griechenland,Heiliger Stuhl (Vatikanstadt),Irland,Island,Italien,Lettland,Liechtenstein,Litauen,Luxemburg,Malta,Melilla,Niederlande,Norwegen,Osterreich,Polen,Portugal,San Marino,Schweden,Schweiz,Spanien,Türkei,Vereinigtes Königreich
2012-02,Spanien,:,"0,28","1,42","721,39","40,67",:,"2.336,88","1.169,57",:,:,:,:,"15.748,03",:,"5.649,38","70,35",:,"0,54","6.113,38",:,"5,09","40.237,96",:,:,"20,99","1.172,35",:,"30,05","2,40",:,"90,20","25.227,45"
2012-02,Tschechische Republik,:,"0,26",:,"34.037,12","762,27","18,69","1.509,19","160,59",:,:,"15,42",:,"2.326,35","0,18","560,13","210,15",:,"11,38","76,67",:,:,"5.538,54","0,15","600,19","6.034,59","179,70",:,"1.523,40","386,60","170,80",:,"2.221,01"
2012-02,Ungarn,:,:,:,"3.467,72",:,:,"1.856,80","212,48",:,:,:,:,"4.637,56","0,43","2,12",:,:,:,"409,83",:,:,"43,72","0,76","671,28","19,36",:,:,"563,52",:,:,"458,82","361,20"
2012-02,Ver.Koenigr.,:,"10.733,69",:,"4.467,21","200,60","22,45","144,29","5.357,60",:,:,"6,31",:,"62.031,21",:,"1.150,17","0,27",:,"187,64","87.091,82",:,:,"66.046,14","1,13","8,23","6.176,54","321,08",:,"2.486,31","68,32","903,77","311,52",:
2012-02,Zypern,:,:,:,"365,57",:,:,"13,75","2,22",:,:,"478,81",:,:,:,:,:,:,:,:,:,:,"40,52",:,"496,54",:,:,:,:,:,:,:,"203,04"
2012-03,Belgien,:,:,:,"5.728,52","8,28",:,"1.525,48","944,83",:,:,:,:,"11.967,22",:,:,:,:,:,"730,52",:,:,"19.302,37","0,45","70,14","0,87","20,33",:,"171,72","0,72","37,33","0,61","3.655,00"
2012-03,Bulgarien,:,:,:,"3.734,15",:,:,"1.853,08","55,37",:,:,"198,55",:,"399,01",:,:,:,:,"50,50",:,:,:,"776,05",:,"1.670,39","67,27",:,:,:,:,:,:,"139,82"
2012-03,Daenemark,:,"1,73",:,"7.072,87",:,"3,36","295,31","41,76",:,:,:,:,"200,41","0,24","11,84","0,31",:,"22,31",:,:,:,"19.723,45","2,66",:,"276,53",:,:,"41.292,91","1.234,95",:,:,"946,34"
2012-03,Deutschland,:,"245,06",:,:,"753,16","588,42","14.272,90","4.691,54",:,:,"48,90",:,"17,46",:,"476,24","154,48",:,"278,96","269,23",:,:,"156.122,40","1,12","9.220,50","2.052,53","279,48",:,"4.723,89","436,16","29,80","161,25","13.170,00"
2012-03,Estland,:,:,:,"267,00","3,40",:,"1.129,96","9,92",:,:,:,:,"423,29",:,"5,51","1.783,69",:,"184,94",:,:,:,:,"0,13",:,"51,48",:,:,"487,25",:,:,:,:
2012-03,Finnland,:,"4,70",:,"2.254,44","2.307,65","213,02",:,"136,35",:,:,:,:,"6.648,56",:,"89,68","104,90",:,"10,46",:,:,:,"1.840,81","1,08","20,34",:,:,:,"8.405,05","0,52","845,72",:,"91,89"
2012-03,Frankreich,:,"639,38",:,"4.764,66","13,50",:,"13.232,16",:,:,:,"18,58",:,"28,67",:,"176,49","204,92",:,:,"20,51",:,:,"104.684,51","0,34","164,12","150,57","21,64",:,"15.204,67","8,74","97,10","2,31","13.571,55"
2012-03,Griechenland,:,:,:,"1.169,84",:,:,"2.050,00","217,72",:,:,:,:,:,:,"47,15",:,:,:,"3.720,15",:,:,"67,63",:,"5.666,99",:,:,:,:,:,"3,78",:,"52,07"
2012-03,Irland,:,"10,11",:,"1.784,36",:,:,"848,57","89,47",:,"0,24",:,:,:,:,:,:,:,:,"751,95",:,:,"2.222,65",:,"34,50",:,:,:,"33,60","0,86",:,:,"8.098,90"
2012-03,Italien,:,"246,98",:,"97.601,47","92,40",:,"5.138,51","1.621,66",:,:,:,:,:,:,:,"19,27",:,:,"39.162,83","167,47",:,"17.626,90",:,"105,28","770,27","99,68",:,"26,14","9,08","106,72",:,"22.073,69"
2012-03,Kroatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2012-03,Lettland,:,"26,16",:,"346,58",:,"12,39","282,05","0,97",:,:,:,:,"791,85",:,:,:,:,"1.537,77",:,"9,03",:,:,:,"14,10","430,84","18,44",:,"236,57",:,"2,25",:,"287,44"
2012-03,Litauen,:,:,:,"88,98","47,30","191,13","2.715,22","0,10",:,:,:,:,"475,30",:,:,"3.629,20",:,:,:,:,:,"7,65",:,:,"111,30",:,:,"377,09",:,:,:,"616,08"
2012-03,Luxemburg,:,"2.584,04",:,"934,86","26,36",:,:,"95,95",:,:,:,:,:,:,:,"71,51",:,:,:,:,:,"4.492,55",:,"42,84",:,"7,61",:,:,:,:,:,"108,52"
2012-03,Malta,:,:,:,"56,66",:,:,"8,27",:,:,:,:,:,:,:,"182,66",:,:,:,:,:,:,"393,27",:,"4,61","1,75",:,:,:,:,"0,01",:,"113,12"
2012-03,Niederlande,:,"2.434,97",:,"18.322,97","33,21",:,"2.837,26","833,95",:,:,:,:,"23.831,88",:,"5,06",:,:,"0,05",:,:,:,:,"1.148,15","31,98","110,43","0,21",:,"926,26","533,47","36,12","0,06","4.055,31"
2012-03,Oesterreich,:,:,:,"7.022,48","8,71",:,"1.092,13","243,58",:,:,"18,03",:,"5.593,60",:,"154,69",:,:,:,"3,25",:,:,"8.130,14",:,:,"2.899,86","14,63",:,"761,92","3,31",:,"0,83","2.223,74"
2012-03,Polen,:,"7,15",:,"11.320,20",:,"17,74","10.138,60","8,70",:,:,:,:,"0,88",:,:,"233,62",:,:,"2.891,11",:,:,"995,53","0,43","17.530,08",:,"11,68",:,"171,15","1,50","21,37","1,28","1.296,19"
2012-03,Portugal,:,:,:,"29,84",:,:,"555,31","283,00",:,:,:,:,"2.888,53",:,"215,14",:,:,:,"546,27",:,:,"2.553,75",:,"0,25",:,:,:,"738,04",:,"200,20",:,"875,55"
2012-03,Rumanien,:,:,:,"4.927,71","0,18",:,"62,83","184,62",:,:,"44,52",:,:,:,"1,53","31,30",:,:,"24,03",:,:,"3.592,33",:,"1.442,29",:,"8,52",:,:,"11,48","64,08","0,04","92,57"
2012-03,Schweden,:,:,:,"1.418,63","7.719,94",:,"5.713,82","852,95",:,:,:,:,"9.665,06",:,:,"0,09",:,"1,23",:,:,:,"72.741,89","1.549,70","78,89","163,86",:,:,:,"10,83",:,:,"2.542,89"
2012-03,Slowakei,:,"215,00",:,"1.495,50","54,95",:,"8.377,06","26,16",:,:,:,:,"1.426,90",:,"0,08",:,:,:,:,:,:,"3.010,80",:,"92.854,60","2.028,79",:,:,"1.120,71",:,"1.516,59",:,"2.142,66"
2012-03,Slowenien,:,"0,09",:,"125,40",:,:,"411,57","665,58",:,:,:,:,:,:,"0,34",:,:,:,:,:,:,"912,80",:,"8.609,72","18,28",:,:,"794,70","0,21",:,:,"45,86"
2012-03,Spanien,"0,48","2,93","5,28","813,21","36,81",:,"430,34","2.652,07",:,:,:,:,"12.976,31",:,"8.680,90","80,03",:,"2,28","1.231,74",:,"3,63","42.302,85",:,"0,16","65,15","1.234,93",:,"50,93","1,18",:,"81,67","16.189,83"
2012-03,Tschechische Republik,:,"249,70",:,"34.952,79","389,23","1,92","541,82","47,25",:,:,:,:,"940,50","1,77","90,42","113,12",:,"6,94",:,:,:,"12.944,90","173,71","805,53","4.030,60","684,49",:,"2.523,53","4,67",:,"0,38","3.284,31"
2012-03,Ungarn,:,:,:,"2.725,23",:,:,"595,25","362,30",:,:,:,:,"1.432,64",:,"54,27",:,:,:,"164,52",:,:,"100,27",:,"3.244,36","10,48",:,:,"1.287,98","97,14",:,:,"215,18"
2012-03,Ver.Koenigr.,:,"139,17",:,"3.226,44","254,70","42,36","6.823,54","3.093,12",:,:,"265,07",:,"21.587,68",:,"450,63","16,93",:,"709,79","55.646,79",:,:,"60.915,28","1,54","140,66","2.070,95","124,57",:,"2.027,50","647,95","2.065,18","297,78",:
2012-03,Zypern,:,:,:,"290,84",:,:,:,:,:,:,"893,96",:,:,:,:,:,:,:,:,:,:,"29,17",:,"500,95","35,40",:,:,:,:,:,:,"90,25"
2012-04,Belgien,:,:,:,"3.532,32","79,38",:,"1.099,21","801,41",:,:,:,:,"268,73",:,"23,84","19,64",:,:,"2.013,25",:,:,"19.625,84","0,26","20,50","983,72","35,46",:,"202,00",:,"107,45","0,11","564,48"
2012-04,Bulgarien,:,:,:,"4.500,08",:,:,"771,87","17,88",:,:,"28,21",:,"1.087,82",:,"11,80",:,:,:,:,:,:,"1.029,42",:,"948,47","49,00",:,:,:,:,:,"0,54","13,66"
2012-04,Daenemark,:,"2.687,46",:,"4.145,00",:,"7,94","187,62","51,26",:,:,:,:,"325,88",:,"51,60","0,61",:,"402,20","149,64",:,:,"3.255,71","127,05","847,48","220,77",:,:,"39.436,03","1.801,28",:,:,"1.878,06"
2012-04,Deutschland,:,"746,00",:,:,"953,78","1.138,84","5.558,88","7.822,49",:,:,"404,90",:,"18,72",:,"1.000,27","373,17",:,"17,91","1.026,39",:,:,"178.752,29","5,97","10.644,54","3.879,01","111,09",:,"2.739,90","1.301,44","79,86","4,24","12.551,67"
2012-04,Estland,:,"10,14",:,"733,43",:,:,"771,08","0,39",:,:,:,:,"532,00",:,:,"974,06",:,"249,59",:,:,:,:,:,:,"23,18",:,:,"558,13",:,:,:,:
